frame,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y,p6_x,p6_y,p7_x,p7_y,p8_x,p8_y,p9_x,p9_y,p10_x,p10_y,p11_x,p11_y,p12_x,p12_y,p15_x,p15_y,p16_x,p16_y,p17_x,p17_y,p19_x,p19_y
83,8.77,0.07,7.44,0.05,5.12,0.1,6.12,0.04,4.23,0.07,-1.9700000286102295,0.38999998569488525,2.27,0.04,11.17,4.96,7.5,-1.05,0.8100000023841858,0.05999999865889549,3.22,0.13,3.549999952316284,-1.5399999618530273,3.4100000858306885,-1.590000033378601,,,,,,
84,8.77,0.06,7.43,0.05,5.13,0.1,6.12,0.04,4.24,0.07,-1.9700000286102295,0.38999998569488525,2.25,0.04,11.17,4.97,7.5,-1.05,0.8199999928474426,0.05999999865889549,3.21,0.13,3.549999952316284,-1.5399999618530273,3.4100000858306885,-1.590000033378601,,,,,,
85,8.77,0.06,7.44,0.05,5.14,0.1,6.11,0.04,4.24,0.07,-1.9700000286102295,0.38999998569488525,2.25,0.04,11.17,4.97,7.5,-1.05,0.8199999928474426,0.05999999865889549,3.19,0.15,3.559999942779541,-1.5299999713897705,,,,,,,,
86,8.77,0.06,7.43,0.05,5.13,0.1,6.11,0.04,4.24,0.07,-1.9800000190734863,0.3799999952316284,2.26,0.04,11.17,4.97,7.5,-1.05,0.8199999928474426,0.05999999865889549,3.2,0.13,3.5799999237060547,-1.5299999713897705,,,,,,,,
87,8.77,0.07,7.43,0.05,5.13,0.1,6.12,0.04,4.24,0.07,-1.9800000190734863,0.3799999952316284,2.26,0.04,11.16,4.97,7.49,-1.05,0.8199999928474426,0.05999999865889549,3.19,0.14,3.5999999046325684,-1.5399999618530273,,,,,,,,
88,8.77,0.07,7.43,0.05,5.13,0.1,6.11,0.04,4.25,0.06,-1.9800000190734863,0.3799999952316284,2.26,0.04,11.16,4.97,7.49,-1.05,0.8199999928474426,0.05999999865889549,3.21,0.13,3.5999999046325684,-1.5399999618530273,,,,,,,,
89,8.77,0.07,7.43,0.05,5.13,0.1,6.11,0.04,4.24,0.06,-1.9800000190734863,0.3799999952316284,2.27,0.04,11.16,4.97,7.49,-1.05,0.8199999928474426,0.05999999865889549,3.21,0.13,3.640000104904175,-1.5499999523162842,,,,,,,,
90,8.77,0.07,7.43,0.05,5.13,0.1,6.11,0.04,4.25,0.06,-1.9800000190734863,0.3799999952316284,2.26,0.04,11.16,4.97,7.49,-1.05,0.8199999928474426,0.05999999865889549,3.23,0.12,3.640000104904175,-1.5399999618530273,,,,,,,,
91,8.77,0.08,7.43,0.05,5.14,0.1,6.11,0.04,4.24,0.06,-1.9800000190734863,0.3799999952316284,2.27,0.04,11.16,4.96,7.48,-1.05,0.8199999928474426,0.07000000029802322,3.22,0.13,3.6500000953674316,-1.559999942779541,,,,,,,,
92,8.77,0.07,7.43,0.05,5.14,0.11,6.11,0.04,4.24,0.06,-1.9700000286102295,0.3799999952316284,2.28,0.04,11.16,4.97,7.48,-1.05,0.8199999928474426,0.07000000029802322,3.21,0.13,3.690000057220459,-1.559999942779541,,,,,,,,
